Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bangladesh,net consumption,Asia & Oceania,1.834,2.231,2.565,2.676,2.989,3.135,3.58,3.765,4.121,5.019,5.022,5.49,6.65,7.513,8.236999999999998,8.616000000000001,8.989,9.388020000000001,10.166049999999998,11.3391,12.456,13.986059999999998,15.22806,16.31784,21.23052,23.476,27.467000000000002,27.605999999999998,28.035000000000004,30.855000000000004,34.166931,37.133816,40.035069,43.003294000000004,48.034271,48.257780000000004,58.132000000000005,62.155178,65.97131,76.759722,72.96417473000001,77.677734229
Barbados,net consumption,Central & South America,0.261,0.265,0.277,0.264,0.305,0.312,0.322,0.36400000000000005,0.385,0.376,0.396,0.46,0.477,0.47400000000000003,0.49800000000000005,0.5289999999999999,0.564,0.599,0.615,0.6619999999999999,0.703,0.7350000000000001,0.7709999999999999,0.8099999999999999,0.8360000000000001,0.891,0.9134,0.9379,0.9679999999999999,0.9779999999999999,0.9169999999999999,0.921,1.0210000000000001,0.9159999999999999,0.9209999999999999,0.962,0.985,0.989,0.986,0.95811,0.930474298,1.005727309
Belarus,net consumption,Eurasia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.660000000000004,33.326,29.627,26.951,27.090999999999998,28.506,26.322000000000003,28.436,28.362560000000002,24.708019999999998,26.35038,26.594059999999995,29.01344,29.509299999999996,30.36508,30.491700000000005,31.030380000000008,29.465719999999997,31.717640000000003,32.42488,33.12424000000001,32.62946,32.76518,31.715700000000002,31.6923,32.168260000000004,32.83396,32.6335,32.974900000000005,40.836567339000005
Belgium,net consumption,Europe,45.18,45.20099999999999,44.89,46.044999999999995,48.24700000000001,50.037000000000006,51.298,53.79400000000001,56.049,57.831999999999994,59.032,61.818000000000005,63.967999999999996,64.66300000000001,67.73500000000001,69.71000000000001,71.19,73.00595,74.89311,75.298,78.53075999999999,79.28752,80.098,81.41355999999999,83.52595999999998,83.06408,85.5111,85.21944,85.33778,79.07678000000001,87.404352,84.733665,85.166338,85.228951,83.249713,84.15348900000001,84.35522399999999,84.94295,85.35230419999999,84.4756648,81.9030948,83.41322989999999
Belize,net consumption,Central & South America,0.08463,0.08556,0.08649,0.08835,0.09579,0.09951,0.1023,0.10695,0.11624999999999999,0.11997000000000001,0.13205999999999998,0.14694000000000002,0.15996,0.17484,0.16274999999999998,0.16926,0.17298,0.186,0.17874600000000002,0.187116,0.1502,0.27194100000000004,0.29693400000000003,0.324243,0.353784,0.370035,0.38017799999999996,0.40220300000000003,0.422099,0.412752219,0.596803289,0.554656772,0.661553567,0.6324981080000001,0.6693802,0.7250542999999999,0.7047801,0.9204152,0.9569148999999999,1.18288,0.900915428,0.925221695
Benin,net consumption,Africa,0.101,0.11500000000000002,0.15500000000000003,0.155,0.137,0.14200000000000002,0.14,0.135,0.131,0.15,0.16499999999999998,0.176,0.229,0.22100000000000003,0.252,0.24200000000000002,0.27870000000000006,0.27970000000000006,0.2707,0.3147,0.39008,0.39515999999999996,0.39834,0.4883200000000001,0.5402,0.5826399999999999,0.606,0.6589799999999999,0.73544,0.7783800000000001,0.9071600000000001,0.90394,0.93312,0.9364800000000001,0.9336599999999999,1.08156,1.06104,1.125821,1.187964,0.9297,0.52408,0.523382994
Bermuda,net consumption,North America,0.28923,0.29760000000000003,0.30783,0.32084999999999997,0.33294,0.3441,0.35991,0.38037,0.40083,0.40734,0.42873,0.44826,0.45198,0.45291,0.46035,0.4557,0.45942,0.46314,0.4743,0.5115000000000001,0.595,0.643681818,0.643,0.624,0.627164,0.652436,0.666401,0.67555,0.685,0.69372,0.686411,0.674,0.658,0.637,0.62,0.634,0.625,0.5883,0.5645,0.533434,0.504404156,0.539310022
Bhutan,net consumption,Asia & Oceania,0.019880000000000002,0.024600000000000004,0.02746,0.02446,0.0276,0.03123,0.03772,0.04309999999999978,0.03876000000000013,0.04468999999999991,0.04763999999999992,0.05672999999999992,0.050649999999999806,0.07564999999999994,0.09086999999999985,0.12487999999999988,0.24529,0.3885299999999998,0.31411999999999984,0.29418999999999984,0.4,0.4690400000000001,0.5484,0.5542999999999998,0.5967999999999999,0.8077999999999999,1.8629499999999999,0.9943100000000005,0.9672500000000009,1.57314,1.7888099999999998,1.7198600000000004,1.8248300000000006,2.0042299999999997,2.0813799999999993,2.06929,1.9383100000000002,1.9843100000000002,2.25854,2.3747500000000006,2.524977979,3.2688737419999994
Bolivia,net consumption,Central & South America,1.4260000000000002,1.5,1.5269999999999997,1.504,1.3649999999999998,1.331,1.283,1.318,1.6280000000000001,1.7169999999999999,1.8129999999999997,2.0060000000000002,1.9829999999999997,2.014,2.366,2.542,2.721,2.923,3.0930000000000004,3.3139999999999996,3.39614,3.3771799999999996,3.4853800000000006,3.6025400000000007,3.7648600000000005,4.194,4.539281,4.9221070000000005,4.913,5.185,5.66444,6.0819399999999995,6.57224,6.927899999999999,7.39646,7.811999999999999,8.047799999999999,8.309349,8.532636,9.088759999999999,8.894731,9.676011123
Bosnia and Herzegovina,net consumption,Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.324,3.157,3.5539999999999994,3.205000000000001,3.916,4.373,5.483999999999999,5.105000000000001,7.339899999999998,7.38858,7.48098,7.886099999999999,8.27506,8.541759999999998,8.472880000000002,8.458020000000001,10.565640000000002,10.175260000000002,11.06712,11.54542,11.90898,11.626100000000003,11.3385,11.44932,11.871529999999996,12.201659999999999,12.253079999999997,11.657449999999999,10.41152,11.447778503000002
Botswana,net consumption,Africa,0.41199,0.47686,0.53677,0.56362,0.59985,0.6470800000000001,0.74034,0.8587799999999999,0.816,0.8062100000000001,0.8763599999999999,0.92347,1.0918400000000001,1.11411,1.28092,1.31371,1.39087,1.5571,1.571,1.7489999999999999,1.71218,2.0224,2.19824,2.3645600000000004,2.47878,2.57598,2.663,2.754,2.9530000000000003,2.8289999999999997,3.1520799999999998,3.15432,3.2089999999999996,3.34768,3.6052800000000005,3.7300400000000007,3.6158400000000004,3.5528000000000004,3.6512119999999997,4.162138,3.22213,3.3530381600000005
Brazil,net consumption,Central & South America,121.78379999999999,124.15719999999999,131.69046,145.44531999999998,161.9187,171.04538,186.48074,190.47542,200.76276,208.72774000000004,212.64456,222.44502,228.10914,239.09412199999997,247.99075200000004,261.50987,277.74329,290.86791,302.90686999999997,310.61947999999995,321.99852,304.48298000000005,318.97716,336.86862,353.29366000000005,367.88327999999996,382.53927999999996,404.16758,419.80854,418.5377400000001,459.68232000000006,475.7647999999999,493.05155999999994,508.82972000000007,522.46688,512.906384,513.8860599999999,519.8830110000001,531.1582795,537.9698027,533.3609600000001,577.2953567000001
